id,Unnamed: 0.1,name,artists,artistid,explicit,popularity,durationms,year,genres,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence
5FVd6KXrgO9B3JPmC8OPst,109,Do I Wanna Know?,['Arctic Monkeys'],7Ln80lUS6He07XvHI8qqHH,False,85,272394,2013,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.548,0.186,0.532,0.000263,0.217,-7.596,0.0323,85.03,0.405
2vwlzO0Qp8kfEtzTsCXfyE,110,Wrecking Ball,['Miley Cyrus'],5YGY8feqx7naU7z4HrwZM6,False,80,221360,2013,['pop'],0.53,0.407,0.422,0.0,0.107,-6.262,0.0342,119.964,0.349
6Z8R6UsFuGXGtiIxiD8ISb,111,Safe And Sound,['Capital Cities'],4gwpcMTbLWtBUlOijbVpuu,False,79,192789,2013,"['metropopolis', 'modern rock']",0.655,0.000176,0.819,0.00374,0.104,-4.852,0.0316,117.956,0.766
3bidbhpOYeV4knp8AIu8Xn,112,Can't Hold Us (feat. Ray Dalton),"['Macklemore & Ryan Lewis', 'Macklemore', 'Ryan Lewis', 'Ray Dalton']",5BcAKTbp20cv7tC5VqPFoC,False,78,258342,2013,"['dance pop', 'pop', 'pop rap', 'seattle hip hop']",0.641,0.0291,0.922,0.0,0.0862,-4.457,0.0786,146.078,0.847
1mKXFLRA179hdOWQBwUk9e,113,Just Give Me a Reason (feat. Nate Ruess),"['P!nk', 'Nate Ruess']",1KCSPY1glIKqW2TotWuXOR,False,78,242733,2013,"['dance pop', 'pop']",0.778,0.346,0.547,0.000302,0.132,-7.273,0.0489,95.002,0.441
0nJW01T7XtvILxQgC5J7Wh,114,When I Was Your Man,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,False,85,213826,2013,"['dance pop', 'pop']",0.612,0.932,0.28,0.0,0.088,-8.648,0.0434,72.795,0.387
0NlGoUyOJSuSHmngoibVAs,115,All I Want,['Kodaline'],4BxCuXFJrSWGi1KHcVqaU4,False,77,305746,2013,"['irish pop', 'pop', 'pop rock']",0.188,0.174,0.411,0.153,0.0843,-9.733,0.0484,187.376,0.159
6lanRgr6wXibZr8KgzXxBl,116,A Thousand Years,['Christina Perri'],7H55rcKCfwqkyDFH9wpKM6,False,77,285120,2013,"['dance pop', 'neo mellow', 'pop', 'pop rock', 'post-teen pop']",0.421,0.309,0.407,0.000961,0.11,-7.445,0.0267,139.028,0.161
2XHzzp1j4IfTNp1FTn7YFg,117,Love Me,"['Lil Wayne', 'Drake', 'Future']",55Aa2cqylxrFIXC767Z865,True,77,255053,2013,"['hip hop', 'new orleans rap', 'pop rap', 'rap', 'trap']",0.669,0.0125,0.634,0.0,0.0946,-6.476,0.0327,124.906,0.496
086myS9r57YsLbJpU0TgK9,118,Why'd You Only Call Me When You're High?,['Arctic Monkeys'],7Ln80lUS6He07XvHI8qqHH,False,84,161123,2013,"['garage rock', 'modern rock', 'permanent wave', 'rock', 'sheffield indie']",0.691,0.0483,0.631,1.13e-05,0.104,-6.478,0.0368,92.004,0.8
2ihCaVdNZmnHZWt0fvAM7B,119,Little Talks,['Of Monsters and Men'],4dwdTW1Lfiq0cM8nBAqIIz,False,76,266600,2013,"['folk-pop', 'metropopolis', 'modern rock', 'pop rock', 'stomp and holler']",0.457,0.0206,0.757,0.0,0.146,-5.177,0.032,102.961,0.417
2y4lAQpi5VTNLu2ldeTdUH,120,We Can't Stop,['Miley Cyrus'],5YGY8feqx7naU7z4HrwZM6,False,77,231240,2013,['pop'],0.613,0.00882,0.622,0.0,0.37,-5.794,0.0334,80.003,0.484
009ImBOrIUlWgla8U05RAC,121,Unconditionally,['Katy Perry'],6jJ0s89eD6GaHleKKya26X,False,75,228878,2013,"['dance pop', 'pop']",0.432,0.00273,0.725,0.0,0.208,-4.862,0.0431,128.902,0.353
5cc9Zbfp9u10sfJeKZ3h16,122,3005,['Childish Gambino'],73sIBHcqh3Z3NyqHKZ7FOL,True,75,234215,2013,"['atl hip hop', 'hip hop', 'pop', 'rap']",0.664,0.112,0.447,0.0,0.091,-7.272,0.289,83.138,0.659
55h7vJchibLdUkxdlX3fK7,123,Treasure,['Bruno Mars'],0du5cEVh5yTK9QJze8zA0C,True,77,178560,2013,"['dance pop', 'pop']",0.874,0.0412,0.692,7.24e-05,0.324,-5.28,0.0431,116.017,0.937
1yjY7rpaAQvKwpdUliHx0d,124,Still into You,['Paramore'],74XFHRwlV6OrjEM0A2NCMF,False,75,216013,2013,"['candy pop', 'pixie', 'pop emo', 'pop punk']",0.602,0.0098,0.923,0.0,0.0561,-3.763,0.044,136.01,0.765
4rHZZAmHpZrA3iH5zx8frV,125,Mirrors,['Justin Timberlake'],31TPClRtHm23RisEBtV3X7,False,75,484146,2013,"['dance pop', 'pop']",0.574,0.234,0.512,0.0,0.0946,-6.664,0.0503,76.899,0.512
48RrDBpOSSl1aLVCalGl5C,126,The Monster,"['Eminem', 'Rihanna']",7dGJo4pcD2V6oG8kP0tJRR,True,74,250188,2013,"['detroit hip hop', 'hip hop', 'rap']",0.781,0.0525,0.853,0.0,0.12,-3.68,0.0715,110.049,0.624
2iJuuzV8P9Yz0VSurttIV5,127,Scream & Shout,"['will.i.am', 'Britney Spears']",085pc2PYOi8bGKj0PNjekA,True,74,283400,2013,"['dance pop', 'pop', 'pop rap']",0.772,0.019,0.685,8.96e-05,0.131,-6.849,0.0696,130.033,0.501
