,Unnamed: 0,name,artists,artistid,id,explicit,popularity,durationms,year,genres
955,55,Afterglow,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,0E4Y1XIbs8GrAT1YqVy6dq,False,70,185486,2021,"['pop', 'uk pop']"
956,56,GIRL LIKE ME,"['Black Eyed Peas', 'Shakira']",1yxSLGMDHlW21z4YXirZDS,1zLBsSVxETQOfINOLYvT5m,True,73,222522,2021,"['dance pop', 'pop', 'pop rap']"
957,57,BICHOTA,['KAROL G'],790FomKkXshlbRYZFtlgla,7vrJn5hDSXRmdXoR30KgF1,True,71,178946,2021,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
958,58,Bandido,"['Myke Towers', 'Juhn']",7iK8PXO48WeuP03g8YR51W,1xK1Gg9SxG8fy2Ya373oqb,False,70,232853,2021,"['reggaeton', 'trap latino', 'urbano latino']"
959,59,Prisoner (feat. Dua Lipa),"['Miley Cyrus', 'Dua Lipa']",5YGY8feqx7naU7z4HrwZM6,5JqZ3oqF00jkT81foAFvqg,False,9,169333,2021,['pop']
960,60,Blinding Lights,['The Weeknd'],1Xyo4u8uXC1ZmMpatF05PJ,0VjIjW4GlUZAMYd2vXMi3b,False,88,200040,2021,"['canadian contemporary r&b', 'canadian pop', 'pop']"
961,61,Beautiful Mistakes (feat. Megan Thee Stallion),"['Maroon 5', 'Megan Thee Stallion']",04gDigrS5kc9YWfZHwBETP,6fRxMU4LWwyaSSowV441IU,False,27,227395,2021,['pop']
962,62,Therefore I Am,['Billie Eilish'],6qqNVTkY8uBg9cP3Jd7DAH,54bFM56PmE4YLRnqpW6Tha,False,71,174321,2021,"['art pop', 'electropop', 'pop']"
963,63,test drive,['Ariana Grande'],66CXWjxzNUsdJxJ2JdwvnR,3eZYOQO4UzKrUDYDghtnFw,False,61,122174,2021,"['dance pop', 'pop']"
964,64,The Business,['Tiësto'],2o5jDhtHVPhrJdv3cEQ99Z,6f3Slt0GbA2bPZlz0aIFXN,False,79,164000,2021,"['big room', 'brostep', 'dance pop', 'dutch edm', 'edm', 'house', 'pop', 'pop dance', 'slap house', 'trance', 'tropical house']"
965,65,Lemonade,"['Internet Money', 'Gunna', 'Don Toliver', 'NAV']",6MPCFvOQv5cIGfw3jODMF0,02kDW379Yfd5PzW5A6vuGt,True,71,195428,2021,"['pop rap', 'rap', 'trap']"
966,66,Watermelon Sugar,['Harry Styles'],6KImCVD70vtIoJWnq6nGn3,6UelLqGlWMcVH1E5c4H7lY,False,85,174000,2021,['pop']
967,67,Lost Cause,['Billie Eilish'],6qqNVTkY8uBg9cP3Jd7DAH,2xdwCJLfKCkat14mlgR26M,True,0,212496,2021,"['art pop', 'electropop', 'pop']"
968,68,Selfish Love (with Selena Gomez),"['DJ Snake', 'Selena Gomez']",540vIaP2JwjQb9dm3aArA4,3XoflnowYPFRPOh3uFvHcm,False,57,168648,2021,"['dance pop', 'edm', 'electronic trap', 'pop', 'pop dance', 'pop rap']"
969,69,What You Know Bout Love,['Pop Smoke'],0eDvMgVFoNV3TpwtrVCoTj,5TnQ453LtEy08EwrIUtB1e,True,23,160000,2021,['brooklyn drill']
970,70,Dynamite,['BTS'],3Nrfpe0tUJi4K4DXYWgMUX,4saklk6nie3yiGePpBwUoc,False,6,199053,2021,"['k-pop', 'k-pop boy group']"
971,71,Head & Heart (feat. MNEK),"['Joel Corry', 'MNEK']",6DgP9otnZw5z6daOntINxp,6cx06DFPPHchuUAcTxznu9,False,75,166028,2021,"['dance pop', 'edm', 'pop', 'pop dance', 'tropical house', 'uk dance']"
972,72,Save Your Tears,['The Weeknd'],1Xyo4u8uXC1ZmMpatF05PJ,5QO79kh1waicV47BqGRL3g,True,85,215626,2021,"['canadian contemporary r&b', 'canadian pop', 'pop']"
973,73,Body,['Megan Thee Stallion'],181bsRPaVXVlUKXrxwZfHK,0A1hoCfMLkiAgvhWkkucJa,True,68,171067,2021,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']"
974,74,Best Friend (feat. Doja Cat),"['Saweetie', 'Doja Cat']",6cK3NBO6uP7hh0oyuVELFl,2etHQJxIbV0soyPhelVs9Y,True,69,155883,2021,"['cali rap', 'dance pop', 'pop', 'rap', 'trap queen']"
975,75,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix","['Ariana Grande', 'Doja Cat', 'Megan Thee Stallion']",66CXWjxzNUsdJxJ2JdwvnR,3jjBPF4NDMCU51psU8JPpR,True,63,182437,2021,"['dance pop', 'pop']"
976,76,What’s Next,['Drake'],3TVXtAsR1Inumwj472S9r4,3aQem4jVGdhtg116TmJnHz,True,71,178153,2021,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
977,77,On The Ground,['ROSÉ'],3eVa5w3URK5duf6eyVDbu9,2pn8dNVSpYnAtlKFC8Q0DJ,False,66,168085,2021,['k-pop']
978,78,As I Am (feat. Khalid),"['Justin Bieber', 'Khalid']",1uNFoZAHBGtllmzznpCI3s,6F2r4HgpJnvKDmkN6JEN6J,False,64,174406,2021,"['canadian pop', 'pop']"
979,79,Met Him Last Night (feat. Ariana Grande),"['Demi Lovato', 'Ariana Grande']",6S2OmqARrzebs0tKUEyXyp,0BI0hfbmqybnd3TezrDME3,True,56,204631,2021,"['dance pop', 'pop', 'post-teen pop']"
980,80,m y . l i f e (with 21 Savage & Morray),"['J. Cole', '21 Savage', 'Morray']",6l3HvQ5sa6mXTsMTB19rO5,1D3z6HTiQsNmZxjl7F7eoG,True,75,218801,2021,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']"
981,81,Your Power,['Billie Eilish'],6qqNVTkY8uBg9cP3Jd7DAH,5qNh5WtzMbfpSj2jLlBkoD,False,2,245896,2021,"['art pop', 'electropop', 'pop']"
982,82,Permission to Dance,['BTS'],3Nrfpe0tUJi4K4DXYWgMUX,0LThjFY2iTtNdd4wviwVV2,False,2,187585,2021,"['k-pop', 'k-pop boy group']"
983,83,Motley Crew,['Post Malone'],246dkjvS1zLTtiykXe5h60,40uMIn2zJLAQhNXghRjBed,True,72,184213,2021,"['dfw rap', 'melodic rap', 'rap']"
984,84,Fair Trade (with Travis Scott),"['Drake', 'Travis Scott']",3TVXtAsR1Inumwj472S9r4,40iJIUlhi6renaREYGeIDS,True,78,291175,2021,"['canadian hip hop', 'canadian pop', 'hip hop', 'rap', 'toronto rap']"
985,85,Hurricane,['Kanye West'],5K4W6rqBFWDnAN6FQUkS6x,0RbW8kWozrVSIGb4V13o0o,False,2,243187,2021,"['chicago rap', 'rap']"
986,86,Pepas,['Farruko'],329e4yvIujISKGKz1BZZbO,5fwSHlTEWpluwOM0Sxnh5k,True,81,287120,2021,"['latin hip hop', 'reggaeton', 'trap latino', 'urbano latino']"
987,87,THATS WHAT I WANT,['Lil Nas X'],7jVv8c5Fj3E9VhNjxT4snq,0e8nrvls4Qqv5Rfa2UhqmO,True,81,143901,2021,"['lgbtq+ hip hop', 'pop']"
988,88,Rumors (feat. Cardi B),"['Lizzo', 'Cardi B']",56oDRnqbIiwx4mymNEv7dS,6KgtcmCF9Ky68XC7ezxl3s,True,66,172832,2021,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
989,89,Skate,"['Bruno Mars', 'Anderson .Paak', 'Silk Sonic']",0du5cEVh5yTK9QJze8zA0C,2sXf2JdbB2GlNju00kw9WE,False,5,203122,2021,"['dance pop', 'pop']"
990,90,t r a n s p a r e n t s o u l feat. Travis Barker,"['WILLOW', 'Travis Barker']",3rWZHrfrsPBxVy692yAIxF,1QL7nSDZCwZMnbisV4KOXt,True,64,168030,2021,"['afrofuturism', 'pop', 'post-teen pop']"
991,91,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",3PhoLpVuITZKcymswpck5b,6zSpb8dQRaw0M1dK8PBwQz,False,83,202735,2021,"['glam rock', 'mellow gold', 'piano rock']"
992,92,Leave Before You Love Me (with Jonas Brothers),"['Marshmello', 'Jonas Brothers']",64KEffDW9EtZ1y2vBYgq8T,4qu63nuBpdn0qHUHuObEj1,False,81,154983,2021,"['brostep', 'dance pop', 'edm', 'pop', 'pop dance', 'progressive electro house']"
993,93,Girl From Rio,['Anitta'],7FNnA9vBm6EKceENgCGRMb,2plRom0urixt6BE8t7kOhQ,False,55,194421,2021,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
994,94,Arcade (feat. FLETCHER),"['Duncan Laurence', 'FLETCHER']",3klZnJvYGIbWritVwQD434,4Ld4kbKo1eOzToQ0P8JA0V,False,66,187453,2021,['dutch pop']
995,95,Summer of Love (Shawn Mendes & Tainy),"['Shawn Mendes', 'Tainy']",7n2wHs1TKAczGzO7Dd2rGr,0z8hI3OPS8ADPWtoCjjLl6,False,76,184104,2021,"['canadian pop', 'dance pop', 'pop', 'viral pop']"
996,96,Meet Me At Our Spot,"['THE ANXIETY', 'WILLOW', 'Tyler Cole']",64H8UqGLbJFHwKtGxiV8OP,07MDkzWARZaLEdKxo6yArG,True,75,162680,2021,['modern alternative pop']
997,97,Life Goes On,['Oliver Tree'],6TLwD7HPWuiOzvXEa3oCNe,0eu4C55hL6x29mmeAjytzC,False,76,161803,2021,['alternative hip hop']
998,98,Dick (feat. Doja Cat),"['StarBoi3', 'Doja Cat']",2WgfkM8S11vg4kxLgDY3F5,3nY8AqaMNNHHLYV4380ol0,True,67,175238,2021,[]
999,99,Praise God,['Kanye West'],5K4W6rqBFWDnAN6FQUkS6x,0WSEq9Ko4kFPt8yo3ICd6T,False,74,226652,2021,"['chicago rap', 'rap']"
1000,0,As It Was,['Harry Styles'],6KImCVD70vtIoJWnq6nGn3,4LRPiXqCikLlN15c3yImP7,False,89,167303,2022,['pop']
1001,1,Anti-Hero,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,0V3wPSX9ygBnCm8psDIegu,False,92,200690,2022,['pop']
1002,2,Unholy (feat. Kim Petras),"['Sam Smith', 'Kim Petras']",2wY79sveU1sp5g7SokKOiI,3nqQXoyQOWXiESFLlDF1hG,False,94,156943,2022,"['pop', 'uk pop']"
1003,3,First Class,['Jack Harlow'],2LIk90788K0zvyj2JJVwkJ,1rDQ4oMwGJI7B4tovsBOxc,True,47,173947,2022,"['deep underground hip hop', 'kentucky hip hop', 'pop', 'rap']"
1004,4,Running Up That Hill (A Deal With God) - 2018 Remaster,['Kate Bush'],1aSxMhuvixZ8h9dK9jIDwL,29d0nY7TzCoi22XBqDQkiP,False,76,300840,2022,"['art pop', 'art rock', 'baroque pop', 'new wave pop', 'permanent wave', 'piano rock', 'singer-songwriter']"
1005,5,INDUSTRY BABY (feat. Jack Harlow),"['Lil Nas X', 'Jack Harlow']",7jVv8c5Fj3E9VhNjxT4snq,27NovPIUIRrOZoCHxABJwK,True,80,212000,2022,"['lgbtq+ hip hop', 'pop']"
1006,6,CUFF IT,['Beyoncé'],6vWDO969PvNqNYHIOW5v0m,1xzi1Jcr7mEi9K2RfzLOqS,True,88,225388,2022,"['dance pop', 'pop', 'r&b']"
1007,7,About Damn Time,['Lizzo'],56oDRnqbIiwx4mymNEv7dS,1PckUlxKqWQs3RlWXVBLw3,True,82,191822,2022,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']"
1008,8,Tití Me Preguntó,['Bad Bunny'],4q3ewBCX7sLwd24euuV69X,1IHWl5LamUGEuP4ozKQSXZ,False,89,243716,2022,"['reggaeton', 'trap latino', 'urbano latino']"
1009,9,Bad Habit,['Steve Lacy'],57vWImR43h4CaDao012Ofp,4k6Uh1HXdhtusDW5y8Gbvy,True,83,232066,2022,['afrofuturism']
1010,10,Glimpse of Us,['Joji'],3MZsBdqDrRTJihTHQrO6Dq,6xGruZOHLs39ZbVccQTuPZ,False,85,233456,2022,"['pop', 'viral pop']"
1011,11,Heat Waves,['Glass Animals'],4yvcSjfu4PC0CYQyLy4wSq,02MWAaffLxlfxAUY7c5dvx,False,83,238805,2022,"['gauze pop', 'indietronica', 'shiver pop']"
1012,12,Late Night Talking,['Harry Styles'],6KImCVD70vtIoJWnq6nGn3,1qEmFfgcLObUfQm0j1W2CK,False,86,177954,2022,['pop']
1013,13,Bam Bam (feat. Ed Sheeran),"['Camila Cabello', 'Ed Sheeran']",4nDoRrQiYLoBzwC5BhVJzF,2DB4DdfCFMw1iaR6JaR03a,False,76,206070,2022,"['dance pop', 'pop', 'post-teen pop']"
1014,14,Me Porto Bonito,"['Bad Bunny', 'Chencho Corleone']",4q3ewBCX7sLwd24euuV69X,6Sq7ltF9Qa7SNFBsV5Cogx,True,90,178567,2022,"['reggaeton', 'trap latino', 'urbano latino']"
1015,15,"Quevedo: Bzrp Music Sessions, Vol. 52","['Bizarrap', 'Quevedo']",716NhGYqD1jl2wI1Qkgq36,2tTmW7RDtMQtBk7m2rYeSw,False,92,198937,2022,"['argentine hip hop', 'pop venezolano', 'trap argentino', 'trap latino', 'urbano latino']"
1016,16,DESPECHÁ,['ROSALÍA'],7ltDVBr6mKbRvohxheJ9h1,5ildQOEKmJuWGl2vRkFdYc,False,85,157017,2022,['r&b en espanol']
1017,17,Envolver,['Anitta'],7FNnA9vBm6EKceENgCGRMb,3IAfUEeaXRX9s9UdKOJrFI,False,76,193805,2022,"['funk pop', 'funk rj', 'pagode baiano', 'pop', 'pop nacional']"
1018,18,Super Freaky Girl,['Nicki Minaj'],0hCNtLu0JehylgoiP8L4Gh,4C6Uex2ILwJi9sZXRdmqXp,True,81,170977,2022,"['dance pop', 'hip pop', 'pop', 'queens hip hop', 'rap']"
1019,19,I Like You (A Happier Song) (with Doja Cat),"['Post Malone', 'Doja Cat']",246dkjvS1zLTtiykXe5h60,0O6u0VJ46W86TxN9wgyqDj,True,85,192840,2022,"['dfw rap', 'melodic rap', 'rap']"
1020,20,abcdefu,['GAYLE'],2VSHKHBTiXWplO8lxcnUC9,4fouWK6XVHhzl78KzQ1UjL,True,81,168601,2022,['modern alternative pop']
1021,21,THATS WHAT I WANT,['Lil Nas X'],7jVv8c5Fj3E9VhNjxT4snq,0e8nrvls4Qqv5Rfa2UhqmO,True,81,143901,2022,"['lgbtq+ hip hop', 'pop']"
1022,22,Shivers,['Ed Sheeran'],6eUKZXaKkcviH0Ku9w2n3V,50nfwKoDiSYg8zOCREWAm5,False,83,207853,2022,"['pop', 'uk pop']"
1023,23,Ghost,['Justin Bieber'],1uNFoZAHBGtllmzznpCI3s,6I3mqTwhRpn34SLVafSH7G,False,83,153190,2022,"['canadian pop', 'pop']"
1024,24,Left and Right (Feat. Jung Kook of BTS),"['Charlie Puth', 'Jung Kook', 'BTS']",6VuMaDnrHyPL1p4EHjYLi7,0mBP9X2gPCuapvpZ7TGDk3,False,81,154486,2022,"['dance pop', 'pop', 'viral pop']"
1025,25,good 4 u,['Olivia Rodrigo'],1McMsnEElThX1knmY4oliG,4ZtFanR9U6ndgddUvNcjcG,True,83,178146,2022,['pop']
1026,26,STAR WALKIN' (League of Legends Worlds Anthem),['Lil Nas X'],7jVv8c5Fj3E9VhNjxT4snq,38T0tPVZHcPZyhtOcCP7pF,True,85,210575,2022,"['lgbtq+ hip hop', 'pop']"
1027,27,Pink Venom,['BLACKPINK'],41MozSoPIsD1dJM0CLPjZF,0skYUMpS0AcbpjcGsAbRGj,False,73,186964,2022,"['k-pop', 'k-pop girl group']"
1028,28,Boyfriend,['Dove Cameron'],2W8yFh0Ga6Yf3jiayVxwkE,59CfNbkERJ3NoTXDvoURjj,True,80,153000,2022,"['pop', 'post-teen pop']"
1029,29,MIDDLE OF THE NIGHT,['Elley Duhé'],67MNhiAICFY6Pwc2YxCO0K,58HvfVOeJY7lUuCqF0m3ly,False,84,184447,2022,"['alt z', 'pop']"
1030,30,Enemy (with JID) - from the series Arcane League of Legends,"['Imagine Dragons', 'JID', 'Arcane', 'League of Legends']",53XhwfbYqKCa1cC15pYq2q,1r9xUipOqoNwggBpENDsvJ,False,81,173381,2022,"['modern rock', 'rock']"
1031,31,Lavender Haze,['Taylor Swift'],06HL4z0CvFAxyc27GXpf02,5jQI2r1RdgtuT8S3iG8zFC,True,85,202395,2022,['pop']
1032,32,Easy On Me,['Adele'],4dpARuHxo51G3z768sgnrY,46IZ0fSY2mpAiktS3KOqds,False,79,224694,2022,"['british soul', 'pop', 'pop soul', 'uk pop']"
1033,33,Sacrifice,['The Weeknd'],1Xyo4u8uXC1ZmMpatF05PJ,1nH2PkJL1XoUq8oE6tBZoU,True,76,188918,2022,"['canadian contemporary r&b', 'canadian pop', 'pop']"
1034,34,Cold Heart - PNAU Remix,"['Elton John', 'Dua Lipa', 'PNAU']",3PhoLpVuITZKcymswpck5b,7rglLriMNBPAyuJOMGwi39,False,68,202735,2022,"['glam rock', 'mellow gold', 'piano rock']"
1035,35,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,['Rihanna'],5pKCCKE2ajJHZ9KAiaK11H,35ovElsgyAtQwYPYnZJECg,False,84,196519,2022,"['barbadian pop', 'dance pop', 'pop', 'urban contemporary']"
1036,36,We Don't Talk About Bruno,"['Carolina Gaitán - La Gaita', 'Mauro Castillo', 'Adassa', 'Rhenzy Feliz', 'Diane Guerrero', 'Stephanie Beatriz', 'Encanto - Cast']",29PgYEggDV3cDP9QYTogwv,52xJxFP6TqMuO4Yt0eOkMz,False,74,216120,2022,['latin viral pop']
1037,37,BREAK MY SOUL,['Beyoncé'],6vWDO969PvNqNYHIOW5v0m,2KukL7UlQ8TdvpaA7bY3ZJ,False,74,278281,2022,"['dance pop', 'pop', 'r&b']"
1038,38,Woman,['Doja Cat'],5cj0lLjcoR7YOSnhnX0Po5,6Uj1ctrBOjOas8xZXGqKk4,True,83,172626,2022,"['dance pop', 'pop']"
1039,39,PROVENZA,['KAROL G'],790FomKkXshlbRYZFtlgla,7dSZ6zGTQx66c2GF91xCrb,False,85,210200,2022,"['reggaeton', 'reggaeton colombiano', 'urbano latino']"
1040,40,Te Felicito,"['Shakira', 'Rauw Alejandro']",0EmeFodog0BfCgMzAIvKQp,2rurDawMfoKP4uHyb2kJBt,False,85,172235,2022,"['colombian pop', 'dance pop', 'latin pop']"
1041,41,Moscow Mule,['Bad Bunny'],4q3ewBCX7sLwd24euuV69X,6Xom58OOXk2SoU711L2IXO,True,86,245939,2022,"['reggaeton', 'trap latino', 'urbano latino']"
1042,42,Shut Down,['BLACKPINK'],41MozSoPIsD1dJM0CLPjZF,0ARKW62l9uWIDYMZTUmJHF,False,77,175889,2022,"['k-pop', 'k-pop girl group']"
1043,43,MAMIII,"['Becky G', 'KAROL G']",4obzFoKoKRHIphyHzJ35G3,1ri9ZUkBJVFUdgwzCnfcYs,False,78,226088,2022,"['dance pop', 'latin pop', 'latin viral pop', 'pop', 'rap latina', 'reggaeton']"
1044,44,Sweetest Pie,"['Megan Thee Stallion', 'Dua Lipa']",181bsRPaVXVlUKXrxwZfHK,7mFj0LlWtEJaEigguaWqYh,True,73,201334,2022,"['dance pop', 'houston rap', 'pop', 'rap', 'trap queen']"
