,id,name,artists,artistid,explicit,popularity,durationms,year,danceability,acousticness,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,dancepop,edm,pop,poprap,rap,arianagrande,badbunny,billieeilish,brunomars,calvinharris,cardib,chrisbrown,drake,dualipa,edsheeran,justinbieber,kendricklamar,khalid,nickiminaj,postmalone,rihanna,selenagomez,shawnmendes,taylorswift,theweeknd
38,4Kz4RdRCceaA9VgTqBhBfa,The Motto,"['Drake', 'Lil Wayne']",3TVXtAsR1Inumwj472S9r4,True,70,181573,2012,0.766,0.000107,0.442,6.12e-05,0.111,-8.558,0.356,201.8,0.39,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
39,4sOX1nhpKwFWPvoMMExi3q,Primadonna,['MARINA'],6CwfuxIqcltXDGjfZsMd9A,False,70,221075,2012,0.66,0.0884,0.689,0.0,0.0922,-2.671,0.0337,127.98,0.427,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6Vh03bkEfXqekWp7Y1UBRb,Live While We're Young,['One Direction'],4AK6F7OLvEQ5QYCBNiQWHq,False,71,200213,2012,0.663,0.0542,0.857,0.0,0.144,-2.16,0.0544,126.039,0.931,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,1nZzRJbFvCEct3uzu04ZoL,Part Of Me,['Katy Perry'],6jJ0s89eD6GaHleKKya26X,False,70,216160,2012,0.678,0.000417,0.918,0.0,0.0744,-4.63,0.0355,130.028,0.769,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,1oHNvJVbFkexQc0BpQp7Y4,Starships,['Nicki Minaj'],0hCNtLu0JehylgoiP8L4Gh,True,70,210626,2012,0.747,0.135,0.716,0.0,0.251,-2.457,0.075,125.008,0.751,1.0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
43,3n69hLUdIsSa1WlRmjMZlW,Breezeblocks,['alt-J'],3XHO7cRUPCLOr6jwp8vsx5,False,69,227080,2012,0.615,0.096,0.658,0.000911,0.205,-7.299,0.0343,150.093,0.293,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,3tyPOhuVnt5zd5kGfxbCyL,Where Have You Been,['Rihanna'],5pKCCKE2ajJHZ9KAiaK11H,False,69,242680,2012,0.719,0.00201,0.847,0.0204,0.223,-6.34,0.0916,127.963,0.444,1.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
45,4qikXelSRKvoCqFcHLB2H2,Mercy,"['Kanye West', 'Big Sean', 'Pusha T', '2 Chainz']",5K4W6rqBFWDnAN6FQUkS6x,True,69,329320,2012,0.563,0.0685,0.496,5.8e-05,0.173,-9.381,0.406,139.993,0.426,0.0,0.0,0.0,0.0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,1EAgPzRbK9YmdOESSMUm6P,Home,['Phillip Phillips'],6p5JxpTc7USNnBnLzctyd4,False,68,210173,2012,0.606,0.0256,0.826,1.56e-05,0.117,-6.04,0.0307,121.04,0.322,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,4P0osvTXoSYZZC2n8IFH3c,Payphone,"['Maroon 5', 'Wiz Khalifa']",04gDigrS5kc9YWfZHwBETP,True,68,231386,2012,0.739,0.0136,0.756,0.0,0.37,-4.828,0.0394,110.028,0.523,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
